,Class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C13,C14,C16,C18,C19,C20,C21,C22,C23,C24,C27,C28,C29
166,0.0,26,yes,V3,26.0,V1,V4,V4,V4,8613,V3,V3,25634,V1,6176,2,V3,V1,2,V2,2,V3,1.0
167,0.0,35,no,V3,6.0,V7,V2,V4,V3,1203,V1,V3,14544,V1,4854,1,V5,V1,1,V1,4,V3,1.0
168,0.0,21,yes,V3,24.0,V2,V3,V1,V1,2482,V2,V3,67150,V1,4798,4,V1,V2,1,V2,4,V3,1.0
169,0.0,41,yes,V5,36.0,V1,V1,V1,V3,5492,V3,V3,50404,V1,7615,4,V2,V1,1,V3,2,V3,2.0
170,1.0,50,yes,V5,18.0,V1,V5,V1,V2,7510,V3,V3,18657,V1,4067,4,V2,V2,1,V3,1,V3,2.0
171,1.0,21,yes,V3,17.0,V2,V1,V1,V4,2461,V3,V3,45452,V1,4482,2,V2,V1,1,V2,2,V3,1.0
172,0.0,52,yes,V5,10.0,V3,V1,V1,V1,2314,V3,V2,22123,V1,5104,4,V2,V1,1,V2,3,V3,1.0
173,0.0,21,yes,V3,12.0,V3,V1,V2,V4,1566,V3,V3,17100,V1,4838,1,V2,V2,1,V2,1,V2,1.0
174,1.0,58,yes,V2,54.0,V9,V1,V2,V3,15944,V3,V3,4030,V1,4464,4,V5,V2,1,V1,3,V3,1.0
175,0.0,62,yes,V5,14.0,V2,V5,V4,V2,1519,V3,V3,45336,V1,3398,4,V4,V1,1,V2,4,V3,1.0
176,0.0,54,yes,V5,12.0,V2,V5,V3,V1,1423,V3,V4,24506,V1,5840,4,V2,V2,1,V2,3,V2,1.0
177,0.0,25,yes,V4,23.0,V3,V1,V3,V4,5151,V1,V3,22641,V1,7257,2,V2,V1,1,V2,4,V3,1.0
178,1.0,21,yes,V2,12.0,V3,V1,V2,V4,1330,V2,V3,72952,V1,4733,1,V2,V1,1,V2,2,V3,1.0
179,1.0,24,yes,V3,11.0,V3,V1,V1,V1,626,V3,V2,17463,V1,6362,4,V1,V1,1,V2,4,V2,1.0
180,0.0,58,yes,V4,8.0,V3,V1,V1,V1,1363,V3,V3,28480,V1,3915,4,V2,V1,1,V2,3,V3,1.0
181,0.0,36,yes,V3,24.0,V9,V4,V3,V1,1275,V3,V3,98782,V1,5889,4,V4,V2,2,V2,2,V1,1.0
182,0.0,24,yes,V3,6.0,V7,V3,V4,V4,2079,V3,V3,25379,V1,5418,2,V4,V1,1,V2,1,V4,1.0
183,0.0,31,yes,V3,23.0,V9,V5,V4,V1,2978,V3,V3,12793,V1,5464,4,V3,V2,2,V2,4,V3,2.0
184,0.0,26,yes,V2,18.0,V2,V1,V2,V2,1295,V3,V3,44958,V1,4815,1,V4,V1,2,V2,4,V2,1.0
185,0.0,22,yes,V2,13.0,V3,V1,V2,V1,882,V3,V3,20237,V3,5117,4,V4,V1,2,V2,4,V3,1.0
186,0.0,60,yes,V4,11.0,V6,V5,V4,V4,2011,V3,V3,96772,V1,6067,2,V4,V1,1,V2,4,V2,1.0
187,1.0,29,yes,V5,23.0,V7,V5,V1,V4,914,V1,V3,8818,V1,4538,2,V2,V1,1,V2,4,V2,1.0
188,1.0,35,yes,V2,23.0,V3,V1,V1,V1,2439,V3,V3,13217,V1,4082,4,V2,V2,1,V2,4,V2,1.0
189,0.0,34,yes,V4,20.0,V2,V5,V2,V4,3976,V3,V3,19503,V1,5014,3,V2,V2,1,V2,2,V3,1.0
190,0.0,65,yes,V5,21.0,V7,V1,V1,V1,571,V3,V3,96102,V1,4997,4,V4,V1,2,V2,4,V3,1.0
191,0.0,49,yes,V5,24.0,V1,V5,V1,V3,2964,V1,V3,56356,V1,3662,4,V2,V2,1,V3,4,V3,2.0
192,0.0,46,yes,V3,11.0,V2,V1,V3,V4,2251,V3,V2,93001,V1,3831,2,V2,V1,1,V2,1,V2,1.0
193,0.0,53,yes,V5,24.0,V6,V1,V4,V3,1596,V3,V3,33246,V1,4009,4,V4,V1,2,V3,4,V3,2.0
194,0.0,42,yes,V3,24.0,V7,V5,V2,V4,1965,V3,V3,11868,V1,5302,4,V3,V2,2,V1,4,V2,1.0
195,0.0,70,yes,V1,10.0,V7,V1,V2,V3,7308,V1,V4,21540,V1,6112,4,V2,V2,1,V3,2,V3,1.0
196,0.0,43,yes,V5,18.0,V7,V5,V2,V4,2899,V3,V3,10609,V1,4189,4,V3,V1,1,V2,4,V3,2.0
197,0.0,29,yes,V3,11.0,V1,V5,V2,V4,2028,V3,V3,41996,V1,4135,2,V2,V1,1,V2,4,V3,1.0
198,0.0,42,yes,V3,15.0,V3,V1,V4,V4,1459,V3,V2,7047,V1,5861,2,V4,V1,1,V2,4,V2,1.0
199,0.0,46,yes,V4,11.0,V7,V1,V2,V1,958,V3,V2,7622,V1,5367,3,V4,V1,2,V2,2,V3,2.0
200,0.0,30,yes,V3,12.0,V2,V1,V1,V2,1620,V3,V3,47306,V2,4528,3,V2,V1,1,V2,2,V2,1.0
201,1.0,31,yes,V3,18.0,V7,V1,V4,V2,1529,V1,V3,44080,V1,5999,2,V4,V1,2,V2,3,V3,1.0
202,1.0,47,yes,V3,18.0,V4,V1,V1,V1,1216,V3,V2,14097,V1,6120,3,V2,V2,1,V2,4,V4,1.0
203,1.0,42,yes,V5,12.0,V7,V1,V1,V2,4843,V3,V3,15575,V2,6182,4,V4,V2,2,V1,3,V3,1.0
204,0.0,22,yes,V3,9.0,V3,V1,V2,V1,1048,V2,V2,21401,V1,4717,4,V1,V1,1,V2,4,V3,1.0
205,0.0,38,yes,V5,12.0,V7,V1,V4,V1,1495,V3,V2,18861,V1,3762,1,V4,V1,2,V2,4,V3,2.0
206,0.0,24,yes,V3,9.0,V3,V1,V1,V1,1137,V3,V2,11797,V1,4538,4,V4,V1,2,V2,4,V3,1.0
207,0.0,25,yes,V3,30.0,V3,V1,V4,V4,4529,V3,V4,14448,V1,4709,4,V4,V2,1,V1,4,V2,1.0
208,1.0,33,yes,V1,14.0,V7,V2,V2,V2,6850,V3,V4,27443,V1,7242,2,V1,V2,1,V2,1,V3,2.0
209,0.0,40,yes,V5,8.0,V6,V5,V4,V2,1243,V3,V2,23164,V1,5911,4,V4,V1,2,V1,4,V2,1.0
210,0.0,31,yes,V5,20.0,V1,V2,V2,V4,6148,V1,V3,10125,V1,6024,4,V5,V2,2,V2,3,V4,1.0
211,0.0,33,yes,V3,9.0,V3,V5,V4,V1,3074,V3,V3,12834,V1,4698,2,V4,V1,2,V2,1,V3,2.0
212,0.0,65,yes,V1,11.0,V7,V3,V3,V3,1480,V1,V1,78743,V1,6013,4,V4,V1,3,V3,2,V3,1.0
213,0.0,68,yes,V1,15.0,V7,V1,V2,V4,1174,V3,V1,25689,V1,3664,3,V4,V2,3,V3,2,V3,1.0
214,0.0,40,no,V3,9.0,V7,V3,V4,V3,1597,V3,V2,15821,V1,5435,2,V2,V1,1,V1,3,V3,2.0
215,0.0,51,yes,V3,11.0,V3,V1,V4,V4,3076,V3,V3,59236,V1,6357,4,V2,V2,1,V2,2,V3,1.0
216,0.0,33,yes,V2,42.0,V9,V1,V3,V2,6288,V3,V3,23299,V1,4858,1,V5,V1,2,V2,2,V1,1.0
217,1.0,65,yes,V3,17.0,V3,V1,V1,V3,2600,V3,V3,35886,V1,4471,4,V2,V1,2,V3,4,V3,1.0
218,0.0,27,yes,V2,12.0,V9,V1,V1,V2,1796,V1,V2,61590,V1,4492,1,V4,V1,2,V2,3,V3,1.0
219,0.0,39,yes,V4,6.0,V7,V4,V1,V1,665,V3,V2,44429,V1,3358,4,V4,V2,2,V2,3,V2,1.0
220,0.0,32,yes,V5,17.0,V3,V3,V4,V2,628,V1,V4,14409,V1,2718,3,V4,V2,2,V2,4,V3,1.0
221,1.0,23,yes,V3,72.0,V3,V2,V2,V4,5595,V3,V3,20840,V1,3286,2,V2,V1,1,V2,2,V4,1.0
222,1.0,40,yes,V2,20.0,V9,V3,V4,V1,2579,V1,V2,34922,V1,5090,2,V3,V1,1,V2,4,V3,2.0
223,1.0,55,yes,V5,11.0,V5,V4,V4,V3,1555,V3,V3,102870,V1,5945,4,V3,V1,2,V3,4,V3,2.0
224,1.0,61,yes,V3,15.0,V5,V4,V2,V2,1512,V2,V3,41288,V1,5325,3,V3,V1,2,V2,3,V4,1.0
225,1.0,28,yes,V2,23.0,V3,V1,V1,V4,1659,V3,V2,71318,V1,6819,2,V3,V2,1,V1,4,V2,1.0
226,0.0,46,yes,V3,24.0,V1,V5,V4,V2,6842,V3,V4,17461,V1,4499,4,V4,V2,2,V2,2,V3,2.0
227,0.0,25,yes,V4,24.0,V9,V2,V1,V1,1381,V3,V3,70603,V1,5666,1,V4,V2,2,V2,4,V3,1.0
228,0.0,24,no,V2,23.0,V2,V1,V1,V2,1747,V3,V2,47139,V2,5855,1,V2,V1,1,V2,4,V3,1.0
229,0.0,35,yes,V3,23.0,V2,V2,V4,V2,4150,V3,V3,35991,V1,3389,3,V3,V1,2,V2,2,V3,1.0
230,0.0,49,yes,V4,18.0,V3,V5,V3,V4,1445,V1,V2,112457,V1,6682,4,V1,V1,1,V2,4,V3,1.0
231,0.0,32,yes,V3,18.0,V2,V1,V2,V4,3244,V1,V3,18474,V1,3185,4,V5,V2,2,V2,1,V2,1.0
232,0.0,32,no,V5,9.0,V7,V1,V4,V1,1230,V3,V2,31156,V1,3639,4,V4,V1,2,V2,3,V3,2.0
233,0.0,23,yes,V2,9.0,V2,V1,V3,V2,1275,V3,V3,17835,V1,7005,2,V2,V1,1,V2,4,V2,1.0
234,0.0,31,yes,V5,24.0,V2,V3,V4,V3,3061,V3,V3,65802,V1,4015,3,V2,V2,1,V1,4,V3,1.0
235,0.0,33,yes,V3,5.0,V9,V2,V4,V1,1743,V3,V2,69882,V1,6077,2,V3,V1,2,V2,1,V3,1.0
236,1.0,29,yes,V3,17.0,V6,V2,V4,V1,1863,V3,V3,14686,V1,5126,2,V4,V1,2,V2,4,V2,1.0
237,1.0,35,yes,V3,23.0,V7,V5,V1,V2,1381,V3,V3,22139,V1,5514,2,V2,V1,1,V2,4,V2,1.0
238,0.0,29,yes,V5,28.0,V3,V1,V4,V4,2742,V3,V3,39607,V1,4595,2,V4,V1,2,V2,4,V3,1.0
239,0.0,56,yes,V5,30.0,V2,V4,V1,V2,3621,V3,V3,40102,V1,4640,4,V2,V2,2,V1,4,V2,1.0
240,0.0,32,yes,V4,14.0,V2,V5,V4,V1,2185,V1,V2,9435,V1,4778,4,V2,V1,1,V1,1,V2,1.0
241,0.0,28,yes,V3,21.0,V7,V2,V3,V4,2922,V1,V4,7489,V1,5709,1,V2,V2,1,V2,1,V2,1.0
242,0.0,33,yes,V5,17.0,V3,V1,V4,V4,6070,V3,V3,20722,V1,5142,4,V4,V2,2,V2,3,V3,1.0
243,0.0,53,yes,V5,12.0,V7,V4,V2,V1,1317,V3,V3,23657,V1,4600,4,V2,V2,1,V2,4,V3,1.0
244,1.0,23,yes,V4,35.0,V7,V1,V1,V4,9270,V3,V3,59286,V1,4041,1,V2,V2,1,V2,2,V3,1.0
245,1.0,32,no,V3,20.0,V7,V1,V1,V2,2235,V1,V3,11960,V3,6066,2,V4,V1,2,V1,4,V4,1.0
246,0.0,46,yes,V5,15.0,V3,V1,V4,V4,1829,V3,V3,8369,V1,4487,4,V4,V2,2,V2,4,V3,1.0
247,0.0,35,yes,V3,6.0,V2,V1,V1,V1,1373,V1,V2,29687,V1,4227,2,V2,V2,1,V2,1,V3,1.0
248,1.0,28,no,V3,9.0,V2,V1,V2,V4,958,V3,V3,6912,V1,4949,2,V2,V1,1,V2,1,V2,1.0
249,0.0,32,yes,V2,23.0,V3,V1,V2,V4,6403,V3,V3,31535,V1,3984,2,V3,V1,1,V2,1,V3,1.0
250,0.0,53,yes,V5,11.0,V1,V1,V1,V1,1408,V3,V3,7555,V1,5993,3,V4,V1,1,V2,4,V3,1.0
251,0.0,36,yes,V5,24.0,V3,V1,V4,V1,1277,V3,V4,33452,V1,5229,1,V2,V2,1,V2,4,V3,1.0
252,0.0,32,yes,V2,26.0,V9,V1,V2,V2,2528,V3,V3,24893,V1,5963,1,V2,V2,1,V2,4,V2,2.0
253,0.0,37,yes,V5,36.0,V1,V4,V4,V4,5710,V3,V4,24243,V1,4758,2,V4,V2,2,V2,4,V3,1.0
254,1.0,24,yes,V4,23.0,V3,V1,V1,V4,1546,V1,V2,57928,V3,5302,4,V1,V1,1,V1,4,V3,1.0
255,1.0,26,yes,V2,35.0,V7,V1,V2,V4,2819,V3,V3,105077,V1,5679,4,V4,V1,2,V2,4,V1,1.0
256,1.0,21,yes,V2,23.0,V3,V1,V2,V2,2038,V3,V3,2668,V1,3827,1,V2,V2,1,V2,1,V4,1.0
257,1.0,40,yes,V3,12.0,V6,V1,V1,V4,683,V3,V2,60487,V1,4610,4,V2,V1,1,V1,4,V3,2.0
258,0.0,26,yes,V3,35.0,V5,V1,V4,V4,2612,V3,V3,105883,V1,4710,2,V5,V1,2,V2,4,V3,1.0
259,0.0,37,yes,V3,6.0,V7,V1,V1,V1,3676,V3,V3,56421,V1,3468,3,V4,V1,3,V1,1,V3,2.0
260,0.0,66,yes,V5,11.0,V1,V1,V1,V3,1526,V3,V4,97721,V1,3840,4,V4,V1,2,V3,4,V3,1.0
261,0.0,21,yes,V3,11.0,V3,V5,V4,V4,885,V3,V3,6764,V1,4922,2,V2,V1,1,V2,4,V2,1.0
262,1.0,30,yes,V5,17.0,V7,V1,V2,V1,1055,V1,V3,28415,V3,6315,3,V4,V1,2,V2,3,V3,1.0
263,0.0,21,yes,V3,14.0,V5,V2,V2,V1,1513,V3,V3,90839,V3,3615,2,V2,V1,1,V2,4,V3,1.0
264,1.0,28,yes,V3,12.0,V2,V3,V4,V4,1122,V3,V2,67278,V1,4909,4,V2,V1,1,V1,4,V2,1.0
265,0.0,22,yes,V4,23.0,V3,V2,V2,V2,1552,V3,V3,23992,V1,5953,2,V3,V2,2,V1,3,V2,1.0
266,0.0,27,no,V2,5.0,V7,V4,V3,V1,709,V3,V1,26718,V1,5193,2,V2,V1,1,V2,2,V4,1.0
267,1.0,20,yes,V3,23.0,V2,V5,V1,V4,2996,V3,V3,26188,V1,5308,4,V2,V1,1,V2,2,V4,1.0
268,1.0,46,yes,V1,6.0,V7,V1,V2,V2,1209,V3,V4,69015,V1,5583,4,V3,V2,1,V2,4,V3,1.0
269,0.0,56,yes,V5,42.0,V1,V1,V3,V3,4796,V3,V3,90374,V1,4708,4,V4,V1,1,V3,4,V3,1.0
270,0.0,51,yes,V5,8.0,V10,V1,V1,V3,1163,V1,V4,30227,V1,4546,4,V4,V2,2,V3,3,V3,2.0
271,0.0,51,yes,V5,6.0,V3,V3,V1,V4,338,V3,V3,53352,V1,4310,4,V4,V1,2,V2,4,V3,1.0
272,0.0,29,yes,V1,35.0,V2,V1,V1,V2,3959,V3,V4,32807,V1,4844,3,V2,V2,1,V2,4,V3,1.0
273,0.0,23,yes,V4,29.0,V1,V2,V1,V4,6187,V3,V3,36782,V1,6498,4,V4,V1,2,V1,1,V4,1.0
274,1.0,25,yes,V2,17.0,V2,V1,V1,V2,3113,V3,V3,60930,V1,5636,4,V5,V1,1,V1,1,V2,1.0
275,1.0,33,yes,V4,48.0,V3,V1,V1,V1,6998,V3,V3,36653,V3,2776,1,V2,V2,2,V2,1,V4,1.0
276,0.0,37,yes,V4,11.0,V2,V3,V4,V4,1401,V3,V3,54509,V1,4845,4,V4,V2,1,V1,3,V2,1.0
277,1.0,27,yes,V4,24.0,V2,V1,V1,V4,3552,V1,V3,55076,V1,4304,4,V1,V1,1,V2,3,V3,1.0
278,0.0,25,yes,V5,8.0,V3,V1,V2,V1,1206,V3,V3,42042,V1,4502,4,V2,V1,1,V2,4,V2,1.0
279,0.0,27,yes,V5,6.0,V7,V2,V3,V4,1322,V3,V3,14326,V1,5325,4,V4,V2,2,V2,2,V1,2.0
280,1.0,28,yes,V4,48.0,V3,V1,V2,V1,3059,V3,V3,78972,V1,5426,4,V2,V1,2,V2,4,V3,1.0
281,1.0,22,yes,V2,17.0,V5,V1,V4,V1,1943,V3,V3,33117,V1,3812,4,V2,V1,1,V2,4,V2,1.0
282,1.0,27,yes,V1,30.0,V7,V1,V2,V4,5233,V3,V4,53629,V1,5894,2,V4,V1,2,V2,4,V4,1.0
283,0.0,49,yes,V2,11.0,V7,V1,V2,V1,3123,V1,V2,62602,V1,7267,3,V4,V1,2,V2,1,V3,2.0
284,0.0,23,yes,V3,12.0,V6,V5,V1,V2,1200,V1,V3,33772,V1,5033,4,V2,V2,1,V1,4,V2,1.0
285,0.0,62,yes,V5,9.0,V7,V1,V3,V3,780,V3,V3,27135,V1,4838,4,V4,V2,2,V3,4,V3,1.0
286,0.0,40,yes,V5,30.0,V9,V2,V2,V2,2503,V2,V3,72878,V1,5174,2,V3,V1,2,V2,4,V3,1.0
287,0.0,27,yes,V2,24.0,V8,V1,V4,V4,937,V3,V2,96017,V1,4353,3,V2,V1,2,V2,4,V4,1.0
288,1.0,23,yes,V3,45.0,V3,V1,V1,V3,1845,V3,V3,48906,V1,5295,4,V2,V2,1,V3,4,V3,1.0
289,0.0,37,yes,V1,18.0,V1,V5,V4,V3,3228,V3,V4,23418,V1,4776,4,V4,V2,1,V2,2,V3,1.0
290,1.0,27,yes,V3,9.0,V7,V1,V1,V4,653,V3,V2,7777,V1,6800,3,V2,V1,1,V2,4,V3,1.0
291,1.0,50,yes,V1,26.0,V9,V1,V1,V2,5292,V2,V3,49782,V1,4273,4,V5,V2,2,V2,2,V3,1.0
292,0.0,51,yes,V5,9.0,V6,V3,V4,V4,936,V3,V3,60815,V1,4668,2,V4,V2,2,V2,4,V3,1.0
293,1.0,26,yes,V2,14.0,V7,V1,V2,V1,1777,V3,V1,21408,V1,5814,1,V5,V1,2,V1,2,V2,1.0
294,0.0,32,yes,V3,30.0,V2,V1,V1,V1,4582,V3,V3,64362,V3,4166,2,V5,V1,2,V2,2,V1,1.0
295,0.0,23,yes,V3,12.0,V3,V1,V3,V1,1296,V3,V3,106784,V1,5063,4,V2,V1,1,V1,3,V4,1.0
296,0.0,27,yes,V3,5.0,V2,V5,V4,V2,1220,V3,V3,68188,V1,5498,2,V4,V1,2,V2,1,V4,1.0
297,0.0,25,no,V3,10.0,V2,V5,V4,V4,2069,V3,V3,12748,V1,4406,1,V4,V1,2,V2,2,V4,1.0
298,0.0,35,yes,V1,5.0,V8,V5,V4,V2,1238,V3,V4,76537,V1,3391,4,V2,V2,1,V2,4,V3,2.0
299,0.0,29,yes,V5,23.0,V1,V4,V2,V3,7757,V3,V3,44818,V1,6625,4,V4,V1,1,V1,2,V2,1.0
300,0.0,29,yes,V3,6.0,V3,V1,V4,V1,518,V3,V3,6907,V1,4663,1,V2,V1,1,V2,3,V2,1.0
301,1.0,32,yes,V5,14.0,V7,V1,V1,V4,949,V3,V3,70989,V1,4662,3,V5,V1,2,V1,4,V3,2.0
302,0.0,38,yes,V1,11.0,V7,V5,V4,V3,2858,V3,V4,99027,V1,5652,4,V2,V2,1,V2,4,V3,1.0
303,1.0,24,yes,V4,39.0,V3,V1,V2,V1,4933,V3,V3,28241,V3,5404,2,V4,V1,2,V2,2,V3,1.0
304,0.0,27,yes,V4,8.0,V9,V1,V4,V4,1449,V3,V3,56780,V1,7246,2,V2,V1,2,V2,3,V2,1.0
305,0.0,26,yes,V3,24.0,V1,V4,V4,V1,5803,V3,V3,24954,V1,4459,2,V4,V1,2,V2,4,V3,1.0
306,0.0,42,yes,V5,60.0,V7,V1,V4,V2,10365,V3,V4,14578,V1,4279,4,V2,V2,1,V2,2,V3,1.0
307,0.0,37,no,V3,10.0,V3,V1,V4,V2,1923,V3,V3,45866,V1,4300,4,V2,V2,1,V2,1,V3,1.0
308,0.0,27,yes,V3,14.0,V2,V1,V4,V3,3342,V3,V3,34491,V1,4503,2,V4,V2,1,V3,4,V3,1.0
309,1.0,39,yes,V5,24.0,V2,V1,V1,V2,3344,V3,V4,41680,V1,5420,2,V2,V2,1,V1,4,V3,1.0
310,0.0,27,yes,V2,6.0,V4,V1,V1,V1,343,V3,V3,43560,V1,4474,1,V2,V1,1,V2,4,V2,1.0
311,0.0,50,yes,V3,24.0,V2,V4,V4,V1,3777,V3,V3,146439,V1,3445,4,V4,V2,1,V2,4,V3,1.0
312,0.0,31,yes,V4,11.0,V3,V1,V4,V4,1963,V3,V4,23909,V1,3858,2,V2,V2,2,V1,4,V3,2.0
313,0.0,33,yes,V4,20.0,V2,V2,V4,V1,1590,V3,V4,28955,V1,5294,3,V3,V1,2,V2,4,V3,1.0
314,0.0,44,yes,V5,23.0,V5,V1,V4,V3,5507,V3,V3,64302,V1,5083,4,V4,V1,2,V3,3,V3,1.0
315,0.0,20,yes,V3,11.0,V2,V1,V1,V2,1289,V3,V2,9440,V3,4523,1,V2,V1,1,V2,4,V3,1.0
316,0.0,66,yes,V4,8.0,V6,V1,V2,V2,1199,V3,V4,100992,V1,5780,4,V2,V2,2,V2,4,V2,1.0
317,0.0,40,yes,V2,27.0,V1,V5,V4,V1,7823,V1,V3,10519,V3,4471,4,V1,V2,2,V1,3,V3,2.0
318,0.0,40,yes,V5,24.0,V1,V1,V4,V4,3867,V3,V4,12677,V1,5471,2,V4,V2,2,V1,4,V2,1.0
319,0.0,25,yes,V1,24.0,V1,V5,V4,V2,5432,V3,V4,27486,V1,3912,4,V2,V2,1,V1,2,V2,1.0
320,1.0,45,no,V5,13.0,V7,V1,V1,V2,8977,V3,V4,109885,V1,4618,4,V2,V2,1,V2,1,V1,1.0
321,0.0,41,yes,V5,21.0,V3,V5,V4,V2,3160,V3,V3,44062,V1,3208,3,V2,V2,1,V2,4,V3,1.0
322,0.0,74,no,V3,6.0,V7,V1,V3,V1,1298,V3,V1,79432,V1,4445,1,V4,V1,3,V2,1,V3,2.0
323,1.0,27,yes,V3,14.0,V7,V2,V2,V4,2630,V3,V3,34492,V1,5047,4,V2,V2,2,V1,2,V2,1.0
324,0.0,34,yes,V4,47.0,V1,V5,V4,V3,8857,V3,V3,35979,V1,5356,1,V4,V2,2,V3,2,V3,1.0
325,0.0,52,yes,V5,12.0,V3,V1,V4,V1,717,V3,V3,17054,V1,6177,4,V4,V1,3,V2,4,V3,1.0
326,0.0,27,yes,V3,24.0,V1,V4,V4,V4,2603,V3,V3,27945,V1,6183,4,V2,V2,1,V1,2,V2,1.0
327,0.0,38,yes,V5,5.0,V3,V5,V2,V2,367,V3,V3,55004,V1,2536,4,V2,V1,1,V2,4,V3,1.0
328,0.0,49,yes,V5,15.0,V3,V5,V2,V1,1537,V3,V3,25817,V3,4404,4,V4,V2,2,V2,4,V3,1.0
329,1.0,46,yes,V5,47.0,V1,V1,V1,V3,6330,V3,V3,12227,V1,5934,4,V4,V2,2,V3,4,V3,1.0
330,1.0,41,yes,V5,35.0,V7,V2,V2,V4,8085,V3,V4,56154,V1,5888,4,V3,V2,4,V2,2,V3,1.0
331,0.0,27,yes,V5,9.0,V3,V1,V2,V4,1082,V3,V2,22409,V1,6687,4,V2,V1,2,V2,4,V3,1.0
